MBK	ACC	OVV	EGG
0.380982	-0.018677	225.254238	-0.001483
0.332547	-0.018756	235.849295	-0.002057
0.202221	-0.017510	259.443365	-0.002428
0.127269	-0.016781	225.090160	-0.002756
0.039678	-0.018382	220.872855	-0.002824
-0.083190	-0.024181	201.882699	-0.002681
-0.142419	-0.031918	177.653552	-0.002617
-0.176962	-0.044065	176.294084	-0.002740
-0.216479	-0.057855	162.435713	-0.002643
-0.213699	-0.065104	167.785265	-0.002789
-0.166045	-0.064009	166.004554	-0.002749
-0.121393	-0.053495	189.280807	-0.002689
-0.056865	-0.036382	214.597136	-0.002602
0.040420	-0.014161	235.902104	-0.002669
0.110125	0.009006	262.097654	-0.002824
0.165506	0.031363	300.750052	-0.002785
0.231680	0.050904	309.306020	-0.002706
0.250296	0.069543	338.244732	-0.002752
0.233429	0.087077	339.969936	-0.002870
0.216228	0.106102	327.808156	-0.002162
0.149561	0.120340	306.983445	0.000284
0.048371	0.106704	266.097880	0.001642
-0.059648	0.064974	203.075701	0.001554
-0.189643	0.014213	137.878135	0.001595
-0.342304	-0.033353	49.035781	0.001569
-0.449879	-0.070927	47.334425	0.001660
-0.453895	-0.090736	-17.790645	0.001654
-0.475907	-0.083985	-70.758322	0.001677
-0.485069	-0.054903	-35.826800	0.001613
-0.345263	-0.013703	-75.696582	0.001612
-0.223664	0.025846	-50.715859	0.001676
-0.136709	0.053069	5.409973	0.001506
0.072659	0.064834	17.067896	0.001129
0.208389	0.062558	39.034957	0.000810
0.265629	0.049203	136.832441	0.000325
0.397466	0.028255	130.429486	-0.000093
0.439003	0.005939	196.684210	-0.000422
0.384407	-0.010698	222.388355	-0.000930
0.386561	-0.016650	226.531337	-0.001430
0.318932	-0.016320	237.221194	-0.001735
0.195649	-0.015499	256.647742	-0.002254
0.123785	-0.014817	220.620042	-0.002490
0.027625	-0.017748	218.084868	-0.002740
-0.089928	-0.023535	191.344320	-0.002697
-0.142815	-0.031492	177.420295	-0.002741
-0.179364	-0.043648	170.817538	-0.002718
-0.215602	-0.057841	161.561023	-0.002742
-0.206518	-0.064682	160.729070	-0.002789
-0.160748	-0.061855	162.074720	-0.002844
-0.119726	-0.050767	186.029536	-0.002783
-0.047947	-0.033457	215.045471	-0.002680
0.049173	-0.011633	230.920499	-0.002674
0.111594	0.011161	266.210819	-0.002614
0.174962	0.032863	296.622276	-0.002782
0.237356	0.052202	305.677222	-0.002815
0.245210	0.069892	338.415501	-0.002744
0.237966	0.086074	336.117048	-0.002685
0.217847	0.103324	321.987019	-0.002218
0.143387	0.117286	309.100836	0.000364
0.053290	0.104986	258.804595	0.001723
-0.055770	0.065222	202.335191	0.001600
-0.189215	0.014947	141.100093	0.001506
-0.325640	-0.032952	41.875779	0.001420
-0.440707	-0.070352	42.406123	0.001589
-0.451960	-0.090520	-11.753984	0.001569
-0.454955	-0.085181	-73.884949	0.001635
-0.468517	-0.056715	-39.311230	0.001524
-0.340497	-0.016075	-70.280371	0.001644
-0.206423	0.024345	-58.915258	0.001736
-0.124590	0.052986	7.865434	0.001473
0.072562	0.065013	17.435054	0.001266
0.221221	0.063367	37.504610	0.000905
0.273982	0.050218	133.812621	0.000353
0.397571	0.030476	133.545939	-0.000048
0.443732	0.007401	189.439754	-0.000553
0.387869	-0.010188	223.439007	-0.000927
0.383750	-0.017532	223.054845	-0.001439
0.321749	-0.017576	235.494525	-0.001796
0.202420	-0.016669	254.563322	-0.002310
0.126136	-0.015978	220.077803	-0.002580
0.030989	-0.018311	220.367621	-0.002727
-0.077659	-0.024469	194.541492	-0.002711
-0.133175	-0.032292	174.883592	-0.002802
-0.171848	-0.044762	171.240710	-0.002797
-0.198750	-0.058416	158.857443	-0.002691
-0.191495	-0.064716	159.306577	-0.002728
-0.147759	-0.062844	167.250934	-0.002718
-0.098306	-0.051459	186.379826	-0.002776
-0.028786	-0.032474	214.519388	-0.002703
0.062001	-0.010568	237.119124	-0.002692
0.133317	0.012217	263.870537	-0.002788
0.190284	0.032658	295.626874	-0.002769
0.246557	0.051920	310.672189	-0.002858
0.262374	0.070571	336.929831	-0.002590
0.249610	0.087768	337.829029	-0.002818
0.222765	0.104404	325.137458	-0.002184
0.153412	0.118129	305.594627	0.000312
0.054739	0.104634	255.757806	0.001595
-0.060613	0.062194	204.573785	0.001645
-0.184491	0.010677	135.223417	0.001648
-0.330382	-0.036958	38.092763	0.001708
-0.446446	-0.074645	49.427192	0.001618
-0.442888	-0.093594	-19.571481	0.001672
-0.452934	-0.086209	-74.570902	0.001622
-0.469497	-0.056633	-33.514875	0.001711
-0.322233	-0.015429	-75.529542	0.001808
-0.195011	0.024789	-55.451842	0.001524
-0.117693	0.052649	12.792166	0.001450
0.094792	0.064006	15.227150	0.001288
0.235349	0.061588	41.294082	0.000828
0.282542	0.047298	139.650443	0.000378
0.413276	0.026452	131.267777	-0.000183
0.452105	0.004809	197.288873	-0.000546
0.392118	-0.012435	224.645668	-0.001037
0.390720	-0.018467	224.197444	-0.001341
0.322860	-0.017945	238.331377	-0.002003
0.198224	-0.017737	253.291476	-0.002411
0.122550	-0.017693	220.743308	-0.002662
0.029350	-0.020695	220.325209	-0.002734
-0.084588	-0.027411	187.783450	-0.002912
-0.141301	-0.034889	180.549046	-0.002746
-0.170388	-0.046912	166.610587	-0.002709
-0.201399	-0.059896	159.672385	-0.002888
