MBK	ACC	OVV	EGG
0.584621	-0.093213	162.256088	0.025140
0.532877	-0.170825	146.923698	0.014304
0.380587	-0.254520	142.613985	0.004746
0.235293	-0.312910	148.532678	-0.006452
0.120731	-0.320009	110.857900	-0.014874
-0.064810	-0.284453	85.164992	-0.024950
-0.185264	-0.226212	74.053484	-0.035760
-0.237994	-0.162509	57.901944	-0.048268
-0.312090	-0.111748	58.336734	-0.054438
-0.324504	-0.084397	65.161021	-0.063664
-0.244898	-0.073024	73.807611	-0.065968
-0.134823	-0.077187	89.413268	-0.066403
-0.037436	-0.089238	114.153131	-0.065859
0.088220	-0.095051	150.349767	-0.066758
0.212279	-0.082147	169.081383	-0.069335
0.272661	-0.053631	184.519361	-0.068881
0.311308	-0.018528	192.403427	-0.071022
0.327441	0.013676	187.249334	-0.069677
0.272324	0.040372	180.703431	-0.070698
0.174156	0.064988	169.453721	-0.067928
0.065660	0.100664	151.631813	-0.067954
-0.029932	0.175934	128.497681	-0.061519
-0.131697	0.310543	108.310772	-0.057731
-0.207242	0.459569	90.128281	0.012269
-0.257679	0.555786	59.311581	0.109553
-0.327717	0.506561	1.489071	0.118860
-0.467757	0.335808	-52.731210	0.126350
-0.564131	0.147374	-82.165584	0.120546
-0.594519	-0.004418	-80.900004	0.119844
-0.526532	-0.133918	-18.346740	0.106642
-0.277741	-0.204873	-2.678372	0.096473
-0.143414	-0.179818	4.525225	0.083185
-0.009285	-0.085475	54.686292	0.073277
0.257083	-0.000497	95.090134	0.061308
0.419650	0.027871	123.366654	0.053831
0.509961	-0.002486	154.493855	0.042893
0.591660	-0.058620	164.204928	0.033033
0.586661	-0.130492	160.065114	0.023523
0.472412	-0.217064	143.873780	0.012849
0.303336	-0.295150	153.801232	0.001293
0.184416	-0.325588	129.153153	-0.007134
0.013794	-0.307163	93.010724	-0.021007
-0.158740	-0.257718	77.973611	-0.027297
-0.226863	-0.196240	62.411866	-0.038521
-0.304098	-0.136092	50.559206	-0.047283
-0.354602	-0.094541	60.753692	-0.059225
-0.306424	-0.071415	65.003820	-0.062179
-0.202740	-0.069333	79.373864	-0.067278
-0.099270	-0.079435	96.860195	-0.065904
0.011473	-0.090032	135.719487	-0.067501
0.157246	-0.085409	163.018119	-0.069010
0.251715	-0.065875	175.818860	-0.069415
0.295273	-0.036094	188.146018	-0.068899
0.329763	-0.006203	192.319643	-0.070785
0.309021	0.023470	183.261903	-0.070512
0.222715	0.048658	178.258322	-0.071742
0.116231	0.076411	162.167574	-0.069344
0.018187	0.120791	140.940595	-0.067433
-0.083759	0.218053	115.445126	-0.060928
-0.179925	0.361283	100.946574	-0.046918
-0.230720	0.502943	77.269429	0.057387
-0.283925	0.554009	40.604979	0.115081
-0.376149	0.450448	-18.421096	0.119651
-0.501733	0.262912	-59.804125	0.122362
-0.564722	0.090203	-88.845017	0.119576
-0.583394	-0.051710	-53.103479	0.111884
-0.431501	-0.166604	-0.929212	0.100948
-0.199537	-0.205010	0.089881	0.087152
-0.108163	-0.148528	22.437716	0.074652
0.080275	-0.050376	73.425863	0.068086
0.327303	0.016629	100.558514	0.057630
0.444247	0.019370	133.071392	0.046812
0.536017	-0.024307	158.098717	0.037729
0.599204	-0.084701	164.939122	0.027090
0.554560	-0.160123	144.304539	0.017319
0.404795	-0.245813	145.264473	0.005664
0.265077	-0.308445	151.860138	-0.002828
0.141437	-0.320712	116.405226	-0.017275
-0.048308	-0.289794	89.035753	-0.022255
-0.175377	-0.234674	78.451405	-0.033745
-0.235295	-0.170329	59.659403	-0.042404
-0.318036	-0.116976	57.461175	-0.055465
-0.339521	-0.083577	65.333059	-0.062514
-0.263791	-0.067429	71.633221	-0.065598
-0.163816	-0.070137	83.771079	-0.065591
-0.067532	-0.083911	109.217002	-0.066238
0.063181	-0.089896	143.796036	-0.067556
0.189017	-0.078553	168.577333	-0.070507
0.261663	-0.052490	181.849530	-0.069850
