MBK	ACC	OVV	EGG
0.331285	-0.084782	115.662945	0.003269
0.374442	-0.132300	138.685405	0.002316
0.360558	-0.186548	151.011259	0.001659
0.299969	-0.232355	159.691999	0.000626
0.214712	-0.270839	159.904620	-0.001068
0.121302	-0.290060	155.029881	-0.003154
0.034316	-0.289494	149.320289	-0.004530
-0.037056	-0.280768	134.957872	-0.005811
-0.085132	-0.259142	115.474417	-0.006800
-0.105892	-0.230440	101.147007	-0.008761
-0.099510	-0.200818	95.313735	-0.010716
-0.067027	-0.168891	94.117968	-0.012567
-0.007651	-0.139216	102.226732	-0.014610
0.071376	-0.101958	117.256013	-0.015504
0.159443	-0.057073	137.095818	-0.014499
0.242337	0.000790	157.893886	-0.014152
0.312354	0.088002	174.932225	-0.013625
0.353965	0.176837	188.221504	-0.013742
0.353427	0.243485	189.672228	-0.011160
0.309338	0.294470	179.335177	-0.000117
0.221920	0.314090	150.829475	0.011895
0.091049	0.299450	110.393651	0.020309
-0.072204	0.237724	56.934880	0.025322
-0.247860	0.143622	1.881905	0.026913
-0.415880	0.046318	-47.434515	0.028169
-0.548043	-0.044563	-87.296661	0.027590
-0.629466	-0.113612	-109.345344	0.023628
-0.642716	-0.145569	-113.765408	0.019683
-0.583555	-0.147435	-100.321704	0.016658
-0.461969	-0.119042	-72.493050	0.013198
-0.290429	-0.080616	-32.483282	0.009414
-0.101202	-0.046745	11.288009	0.005227
0.084281	-0.029692	52.635696	0.003697
0.235035	-0.048150	88.601352	0.002795
0.334365	-0.084494	115.589951	0.002136
0.373214	-0.131283	134.118838	0.001817
0.357649	-0.186104	151.287109	0.000424
0.297267	-0.232206	157.862927	-0.001064
0.208218	-0.269720	160.438273	-0.002248
0.115973	-0.289859	157.976533	-0.003956
0.032763	-0.292252	148.373199	-0.006689
-0.036640	-0.280406	133.011351	-0.006681
-0.080041	-0.254623	114.694755	-0.007848
-0.098633	-0.229074	100.479379	-0.010823
-0.086956	-0.199202	92.074819	-0.012367
-0.053163	-0.164158	91.031218	-0.013869
0.006141	-0.133029	99.628890	-0.015158
0.085106	-0.098195	116.857296	-0.016269
0.172695	-0.055661	137.869050	-0.016909
0.254668	0.000353	156.947870	-0.016261
0.321779	0.089036	176.289817	-0.014979
0.355208	0.174963	188.113700	-0.015204
0.354426	0.237627	191.519564	-0.013298
0.307487	0.284880	179.584525	-0.002599
0.218388	0.311651	151.833392	0.008236
0.083527	0.302506	110.207360	0.017019
-0.075836	0.237685	57.182686	0.021889
-0.248200	0.146940	5.767102	0.024438
-0.411787	0.057142	-44.358160	0.026356
-0.542208	-0.030970	-82.168783	0.024317
-0.622708	-0.101468	-106.522191	0.020158
-0.638396	-0.135303	-111.753223	0.017829
-0.584502	-0.139601	-101.979778	0.013473
-0.468023	-0.116193	-72.082936	0.007992
-0.302900	-0.080379	-33.198861	0.004062
-0.116749	-0.049658	6.754782	0.001451
0.068106	-0.037638	50.433298	0.001168
0.217822	-0.054648	87.180800	0.000451
0.319387	-0.083930	115.345237	-0.001025
0.360748	-0.129114	135.584912	-0.001118
0.348488	-0.181665	152.704676	-0.002244
0.294364	-0.228895	161.714261	-0.002664
0.213213	-0.265174	163.480647	-0.003982
0.122099	-0.286174	159.859967	-0.004916
0.040820	-0.289168	151.756842	-0.007175
-0.025324	-0.280280	135.614574	-0.007490
-0.068265	-0.258925	117.079544	-0.008846
-0.088939	-0.234558	102.209587	-0.011701
-0.084127	-0.201693	94.031365	-0.014319
-0.051837	-0.165920	92.346261	-0.015807
0.006579	-0.135653	98.959485	-0.017011
0.082454	-0.101749	116.869317	-0.018522
0.168621	-0.056390	132.601147	-0.018054
0.251724	0.005785	155.118325	-0.017085
0.317283	0.095280	174.969564	-0.015265
0.351346	0.182931	184.958271	-0.016760
0.343862	0.252544	189.029004	-0.014211
0.297306	0.298427	175.833334	-0.002094
0.207289	0.320357	149.618667	0.009709
0.073894	0.304256	103.210128	0.017226
-0.090413	0.236627	52.271375	0.021703
-0.266125	0.140312	0.122415	0.025099
-0.428606	0.041043	-49.699989	0.024337
-0.557776	-0.054093	-88.701729	0.022098
-0.636624	-0.118192	-111.503783	0.019264
-0.645179	-0.151309	-115.496581	0.016103
-0.580796	-0.149864	-101.152764	0.012285
-0.449259	-0.120145	-69.254705	0.008911
-0.272255	-0.080887	-27.646487	0.003613
-0.077626	-0.045778	15.167010	0.000406
0.108643	-0.035626	53.639540	-0.000929
0.262134	-0.054553	88.428958	-0.001391
0.358310	-0.086533	118.159593	-0.001405
0.394402	-0.135861	138.556473	-0.002076
0.372278	-0.190048	153.498347	-0.002800
0.312217	-0.236844	162.781356	-0.004220
0.226973	-0.274122	165.565561	-0.005271
0.136104	-0.291732	160.684105	-0.006650
0.050820	-0.294656	149.490618	-0.007789
-0.018541	-0.283262	133.014196	-0.009408
-0.061387	-0.257883	117.646928	-0.011189
-0.081044	-0.229462	100.912563	-0.014196
-0.073984	-0.194303	93.996647	-0.015614
-0.038820	-0.160823	95.507741	-0.017159
0.022004	-0.130947	104.615808	-0.018579
0.101462	-0.091353	120.211275	-0.019687
0.188909	-0.046737	140.173305	-0.019342
0.269231	0.018870	160.697606	-0.017384
0.327273	0.113094	177.208309	-0.016828
0.357681	0.197862	188.083973	-0.016713
0.352293	0.263727	188.731315	-0.013223
0.300316	0.305377	175.179878	-0.001173
0.207177	0.319080	143.060398	0.010253
0.068534	0.296150	97.758206	0.017854
-0.098146	0.223992	44.988997	0.022573
-0.273588	0.127058	-8.176625	0.023969
-0.436464	0.027905	-56.919089	0.025109
-0.562655	-0.061660	-93.010913	0.022591
-0.634520	-0.122102	-113.302665	0.019274
-0.634049	-0.151038	-116.623786	0.015958
-0.561450	-0.145088	-97.108376	0.011648
-0.423309	-0.112190	-64.044706	0.006989
-0.238307	-0.074154	-23.198106	0.002113
-0.042090	-0.042358	18.998742	-0.000692
0.140578	-0.036600	59.891946	-0.000213
0.280917	-0.057039	94.483683	-0.001203
0.370038	-0.091871	118.740414	-0.002277
0.395798	-0.142389	141.645043	-0.003401
0.366863	-0.192728	157.449937	-0.003237
0.299901	-0.237333	159.867501	-0.004001
0.209594	-0.271059	164.505797	-0.005444
0.118335	-0.286666	161.276371	-0.007450
0.034905	-0.286711	147.457792	-0.009083
-0.032145	-0.274284	129.786036	-0.009784
-0.071960	-0.250081	112.832883	-0.011385
-0.088543	-0.222380	98.793895	-0.013519
-0.072533	-0.188724	91.385255	-0.015846
-0.033641	-0.158070	94.521106	-0.017691
0.031610	-0.125033	105.080573	-0.019007
0.114258	-0.082439	119.351328	-0.018462
0.201564	-0.035454	142.184483	-0.017713
0.280400	0.040371	161.645935	-0.018270
0.337631	0.138447	179.629291	-0.016480
0.360392	0.219483	187.689073	-0.017022
0.344810	0.281858	187.253514	-0.011539
0.285795	0.316828	170.007705	0.002104
0.184726	0.323221	135.431869	0.012037
0.038809	0.282152	87.650847	0.019640
-0.128355	0.198068	29.733259	0.023378
-0.304942	0.098987	-22.021285	0.024517
-0.462033	0.001453	-66.704581	0.024227
